Year,Month,avgMonthlyPrecipitation
1999,6,50.249999991307654
1999,5,27.383333450804155
1999,4,54.5500002540648
1999,3,42.23333381613096
1999,2,25.15000023196141
1999,1,61.93333384022117
1998,12,59.383333866794906
1998,11,28.96666707098484
1998,10,53.416667045404516
1998,9,56.8333335518837
1998,8,86.46666655689478
1998,7,85.16666662568848
1998,6,88.88333336263895
1998,5,38.366666823625565
1998,4,44.41666690632701
1998,3,33.900000327577196
1998,2,50.03333334997296
1998,1,44.31666716436545
1997,12,69.60000057642658
1997,11,64.45000036309163
1997,10,58.150000125169754
1997,9,43.56666678686937
1997,8,24.616666575272877
1997,7,41.96666672329108
1997,6,86.9833336348335
1997,5,60.80000009511908
1997,4,25.950000286102295
1997,3,9.550000082701445
1997,2,35.433333768198885
1997,1,5.78333343192935
1996,12,39.550000378241144
1996,11,67.11666712289055
1996,10,22.45000021159649
1996,9,57.46666664133469
1996,8,37.71666687230269
1996,7,84.03333345676462
1996,6,51.66666730617484
1996,5,63.23333361496528
1996,4,8.100000026325384
1996,3,10.033333462973436
1996,2,15.73333345229427
1996,1,10.416666756073633
1995,12,5.116666757812102
1995,11,31.600000135600567
1995,10,20.866666885713737
1995,9,134.55000010877848
1995,8,16.049999985843897
1995,7,43.6000000834465
1995,6,97.19999871402979
1995,5,26.000000402331352
1995,4,61.70000037550926
1995,3,34.40000033378601
1995,2,31.800000123679638
1995,1,25.99999999254942
1994,12,50.9000002220273
1994,11,15.700000114738941
1994,10,33.19999995827675
1994,9,94.59999907016754
1994,8,58.80000016093254
1994,7,0.0
1994,6,45.10000038146973
1994,5,25.100000090897083
1994,4,23.100000210106373
1994,3,37.6000003144145
1994,2,22.50000023841858
1994,1,22.100000455975533
1993,12,37.10000042617321
1993,11,42.80000019073486
1993,10,43.20000033080578
1993,9,40.600000344216824
1993,8,80.7000004351139
1993,7,95.4000006467104
1993,6,56.50000047683716
1993,5,21.10000003874302
1993,4,0.0
